topic,f1,test_messages
rec.sport.hockey,0.8962868117797695,390
rec.sport.baseball,0.8436268068331143,383
talk.politics.mideast,0.8209366391184573,370
sci.crypt,0.7983651226158038,380
misc.forsale,0.7912371134020618,382
sci.med,0.7858880778588808,382
comp.windows.x,0.7762430939226519,391
rec.motorcycles,0.7714631197097944,386
rec.autos,0.7632311977715878,375
sci.space,0.7471980074719801,378
soc.religion.christian,0.7361963190184049,384
comp.sys.mac.hardware,0.7336956521739131,371
comp.graphics,0.6875,384
comp.sys.ibm.pc.hardware,0.6595174262734584,386
comp.os.ms-windows.misc,0.654054054054054,379
sci.electronics,0.6351706036745407,383
talk.politics.guns,0.6329787234042553,354
alt.atheism,0.5234248788368336,311
talk.politics.misc,0.500875656742557,303
talk.religion.misc,0.3657957244655582,245
